Adam Abrahám
Adolf Adam
Adrián Adamec
Alan Achberger
Albert Andráš
Albín Andrašík
Aleš Andrášik
Alex Antal
Alexander Babjak
Alexej Babka
Alfonz Bača
Alfréd Bahna
Alojz Bahno
Ambróz Baláž
Andrej Bán
Anton Baňa
Ariel Baňas
Arnold Baňo
Áron Baran
Arpád Baranka
Atila Barbora
Augustín Barok
Aurel Bárta
Bartolomej Bartoš
Belo Bartošík
Beňadik Bartovič
Benedikt Baša
Benjamín Baška
Bernard Baško
Blahoslav Bašo
Blažej Bednár
Bohdan Bednárik
Bohumil Beka
Bohumír Beňa
Bohuslav Beňo
Bohuš Beňuš
Boleslav Beňuška
Bonifác Bernard
Boris Bernolák
Branislav Bezák
Bruno Bicek
Bystrík Bielik
Ctibor Bilek
Cyprián Bilka
Cyril Bilko
Dalibor Blaha
Daniel Blaho
Dávid Blažej
Demeter Bobula
Denis Bobuľa
Dezider Bondra
Dionýz Borek
Dobroslav Borík
Dominik Bórik
Drahomír Borik
Drahoslav Boris
Dušan Boriš
Eder Borka
Edmund Borko
Eduard Borovský
Eliáš Borový
Ema Bosák
Emma Boška
Emanuel Bošňák
Emil Bôrik
Erik Brezina
Ernest Brunovský
Ervín Bruška
Eugen Bruško
Fedor Bukovský
Félix Capek
Ferdinand Capka
Filip Capko
Florián Centek
František Cesnak
Frederik Cibula
Fridrich Cibuľa
Gabriel Cibulka
Gašpar Cibuľka
Gejza Cigán
Gregor Cigáň
Gustáv Cigánik
Henrich Cíger
Herbert Cyprich
Hubert Čapka
Hugo Čapko
Ignác Čapkovič
Igor Čapla
Iľja Čapľa
Imrich Čaplovič
Ivan Čarnogurský
Izidor Čekovský
Jakub Černík
Ján Černoch
Jarolím Červeň
Jaromír Červený
Jaroslav Česnek
Jerguš Čiernik
Jerry Čierny
Jonáš Čobrda
Jozef Ďaďo
Július Dán
Juraj Daňa
Kamil Dancák
Karol Dančák
Kazimír Dančiak
Klement Danek
Kliment Danko
Koloman Daňko
Konštantín Dano
Kornel Daňo
Kristián Dávid
Krištof Deák
Kvetoslav Debnár
Ladislav Dej
Leonard Dekýš
Leopold Devečka
Levoslav Dobšinský
Libor Dočolomanský
Ľubomír Doležal
Ľubor Dora
Ľuboslav Dorka
Ľuboš Dorko
Ludolf Ďorko
Ľudomil Dorot
Ľudovít Dorota
Lukáš Drajna
Marcel Drobný
Marek Droppa
Marián Drotár
Mário Dubnička
Maroš Dubovský
Martin Duda
Matej Dudek
Matúš Dudik
Maximilián Dudík
Medard Dudka
Melichar Dudko
Metod Dudo
Michal Dudok
Mikuláš Dula
Milan Dulla
Miloslav Ďurča
Miloš Ďurčo
Miroslav Durdík
Mojmír Ďurek
Móric Ďurica
Nathan Ďuriš
Nikola Ďurka
Norbert Ďurko
Odin Ďurkovič
Oldrich Ďurkovský
Oliver Ďuro
Ondrej Ďurovič
Oskár Ďurovský
Oto Dusík
Pankrác Duska
Paolo Dusko
Patrik Duša
Pavol Dušek
Peter Dušička
Pravoslav Duška
Prokop Dúška
Radomír Duško
Radoslav Ďuško
Radovan Dutka
Radúz Ďutka
Rastislav Dutko
René Dvonč
Richard Dvorský
Rishi Dzurjanin
Róbert Fabian
Roland Fabián
Roman Fabuš
Rudolf Fajnor
Samuel Farkašovský
Sebastián Fašiang
Sergej Fedor
Servác Feldek
Seth Fico
Severín Filc
Silvester Filip
Slavomír Filipek
Stanislav Filípek
Svätopluk Filipko
Svetozár Finka
Šimon Fogaš
Štefan Forgáč
Tadeáš Fraňa
Tarzícius Franek
Teodor Franka
Tibor Franko
Tichomír Frano
Timotej Fraňo
Tobiáš Frimer
Tomáš Ftáčnik
Urban Ftorek
Václav Gál
Valentín Galik
Valér Galík
Vasil Gálik
